user_id,first_name,last_name,position,department,location,contract_type,seniority
139,Roger,Faure,Dev,Department IT,Bordeaux,CDI,Junior
140,Susan,Roger,Scientist,Department R&D,Paris,CDI,Junior
141,Marianne,Monnier,Accountant,Department Finance,Rouen,CDI,Junior
142,Dominique,Loiseau,Sales Rep,Department Sales,Marseille,CDI,Medium
143,Danielle,Goncalves,Product Manager,Department Product,Strasbourg,CDI,Medium
144,Yves,Menard,Financial Analyst,Department Finance,Montpellier,Stage,Senior
145,Isabelle,Riou,Accountant,Department Finance,Nantes,CDI,Junior
146,Gérard,Rivière,Business Analyst,Department Product,Rouen,CDI,Junior
147,Michelle,Besnard,Financial Analyst,Department Finance,Montpellier,CDD,Senior
148,Martine,Godard,Receptionist,Department Facilities,Strasbourg,CDI,Junior
149,Suzanne,Vidal,Recruiter,Department HR,Bordeaux,CDD,Junior
150,Renée,Gay,Account Manager,Department Sales,Strasbourg,CDI,Medium
151,Juliette,Gilbert,Product Owner,Department Product,Montpellier,CDI,Lead
152,Marcelle,Charpentier,Business Analyst,Department Product,Toulouse,CDD,Junior
153,François,Muller,Facility Manager,Department Facilities,Nantes,Interim,Junior
154,Frédéric,Besnard,Security Guard,Department Facilities,Bordeaux,CDI,Junior
155,Henri,David,Scientist,Department R&D,Strasbourg,CDI,Senior
156,Thérèse,Buisson,Sysadmin,Department IT,Nantes,CDD,Senior
157,Alix,Leblanc,Accountant,Department Finance,Toulouse,CDD,Medium
158,Christine,Buisson,Accountant,Department Finance,Marseille,CDI,Junior
159,Laetitia,Lagarde,Researcher,Department R&D,Bordeaux,CDD,Senior
160,Bernadette,Valentin,Architect,Department IT,Marseille,Stage,Junior
161,Philippe,Poulain,Security Guard,Department Facilities,Bordeaux,CDI,Junior
162,Thérèse,Lelièvre,DevOps,Department IT,Nantes,Apprentissage,Junior
163,Juliette,Aubry,DevOps,Department IT,Strasbourg,CDD,Medium
164,Geneviève,Collet,Receptionist,Department Facilities,Marseille,Apprentissage,Senior
165,Bernadette,Gomes,Sales Manager,Department Sales,Nantes,Stage,Medium
166,Marcelle,Hernandez,Architect,Department IT,Lyon,Stage,Junior
167,Thomas,Delaunay,Facility Manager,Department Facilities,Strasbourg,CDD,Junior
168,Agathe,Guibert,Scientist,Department R&D,Rouen,CDI,Senior
169,Catherine,Lemoine,Dev,Department IT,Montpellier,Interim,Medium
170,Benjamin,Poirier,Receptionist,Department Facilities,Montpellier,Stage,Junior
171,Zacharie,Bonnet,Legal Counsel,Department Legal,Toulouse,CDI,Medium
172,Astrid,Fischer,Payroll Specialist,Department HR,Rouen,CDD,Junior
173,Margot,Lebreton,Legal Counsel,Department Legal,Montpellier,CDD,Senior
174,Margaux,Pelletier,Engineer,Department R&D,Rouen,CDI,Junior
175,Gérard,Bernard,Recruiter,Department HR,Lyon,CDI,Senior
176,Franck,Mendès,Product Owner,Department Product,Toulouse,CDI,Medium
177,Hélène,Legros,Cleaner,Department Facilities,Nantes,CDD,Medium
178,Adrien,Valette,DevOps,Department IT,Nantes,CDD,Medium
179,Henriette,Fernandes,IT Support,Department IT,Strasbourg,Stage,Medium
180,Dorothée,Parent,Engineer,Department R&D,Paris,CDI,Senior
181,Sébastien,Hamon,Scientist,Department R&D,Marseille,CDD,Medium
182,Lucas,Delahaye,Financial Analyst,Department Finance,Paris,CDI,Medium
183,Susan,Rolland,HR Manager,Department HR,Marseille,CDI,Senior
184,François,Laine,Account Manager,Department Sales,Marseille,CDI,Medium
185,Françoise,Charpentier,IT Support,Department IT,Montpellier,CDI,Junior
186,Frédéric,Poirier,Security Guard,Department Facilities,Strasbourg,Apprentissage,Junior
187,Renée,Clément,Legal Counsel,Department Legal,Strasbourg,Interim,Junior
188,Lucas,Adam,Accountant,Department Finance,Rouen,CDI,Junior
189,Louis,Pages,Architect,Department IT,Bordeaux,CDI,Junior
190,Bernard,Brun,HR Manager,Department HR,Montpellier,Apprentissage,Junior
191,Alix,Nguyen,Legal Counsel,Department Legal,Nantes,Stage,Senior
192,Simone,Pons,Sales Manager,Department Sales,Lyon,Stage,Junior
193,Gérard,Antoine,Receptionist,Department Facilities,Bordeaux,Apprentissage,Junior
194,Marguerite,Faivre,DevOps,Department IT,Montpellier,CDD,Lead
195,Danielle,Durand,Security Engineer,Department IT,Strasbourg,CDI,Junior
196,Célina,Maillet,Security Guard,Department Facilities,Bordeaux,CDI,Junior
197,Margot,Girard,DevOps,Department IT,Nantes,Apprentissage,Medium
198,Lucy,Clerc,Researcher,Department R&D,Strasbourg,CDI,Junior
199,Gérard,Dijoux,Cleaner,Department Facilities,Strasbourg,CDD,Junior
200,Laure,Rodriguez,Facility Manager,Department Facilities,Rouen,CDI,Lead
201,Alice,Delmas,Account Manager,Department Sales,Toulouse,CDI,Junior
202,Célina,Lenoir,Accountant,Department Finance,Strasbourg,CDD,Junior
203,Agnès,Ferrand,Architect,Department IT,Rouen,CDI,Junior
204,Éric,Imbert,Dev,Department IT,Strasbourg,Stage,Medium
205,Hortense,Petit,IT Support,Department IT,Rouen,CDI,Senior
206,Michèle,Durand,Recruiter,Department HR,Montpellier,Interim,Medium
207,Adrienne,Rodrigues,Recruiter,Department HR,Strasbourg,CDD,Medium
208,Jeannine,Colin,Facility Manager,Department Facilities,Marseille,CDI,Junior
209,Mathilde,Lecoq,Payroll Specialist,Department HR,Toulouse,Interim,Medium
210,Jacques,Dumas,Scientist,Department R&D,Paris,CDD,Junior
211,Marie,Ferrand,Sales Rep,Department Sales,Lyon,Stage,Medium
212,Capucine,Dufour,IT Support,Department IT,Montpellier,CDI,Medium
213,Isaac,Lebrun,Sysadmin,Department IT,Toulouse,CDI,Junior
214,Laure,Mathieu,Financial Analyst,Department Finance,Montpellier,CDD,Junior
215,Valérie,Bertin,Scientist,Department R&D,Bordeaux,Apprentissage,Medium
216,Luc,Valette,Dev,Department IT,Nantes,CDD,Medium
217,Adèle,Monnier,Intern,Department Intern,Bordeaux,CDD,Junior
218,Alexandrie,David,IT Support,Department IT,Rouen,CDI,Junior
219,Louis,Schneider,Scientist,Department R&D,Marseille,CDD,Junior
220,Margot,Bigot,DBA,Department IT,Rouen,CDI,Senior
221,Antoine,Guillet,Legal Counsel,Department Legal,Marseille,Stage,Medium
222,Anouk,Blanchard,Facility Manager,Department Facilities,Bordeaux,CDI,Senior
223,Benoît,Roussel,Scientist,Department R&D,Marseille,CDI,Medium
224,Jérôme,Sauvage,Receptionist,Department Facilities,Montpellier,Stage,Lead
225,Véronique,Alexandre,Scientist,Department R&D,Marseille,CDI,Lead
226,Christelle,Richard,DevOps,Department IT,Bordeaux,CDD,Medium
227,Sébastien,Joubert,Security Engineer,Department IT,Rouen,CDI,Medium
228,Zacharie,Boulay,HR Manager,Department HR,Toulouse,CDD,Medium
229,Alfred,Adam,DBA,Department IT,Rouen,CDI,Junior
230,Suzanne,Courtois,DevOps,Department IT,Strasbourg,Stage,Junior
231,Thibaut,Faivre,Scientist,Department R&D,Paris,Interim,Lead
232,Henriette,Moreno,IT Support,Department IT,Bordeaux,CDI,Junior
233,René,Dufour,Legal Counsel,Department Legal,Strasbourg,CDI,Junior
234,Raymond,Potier,Researcher,Department R&D,Lyon,CDD,Medium
235,Thibaut,Morel,Business Analyst,Department Product,Nantes,CDI,Senior
236,Camille,Delorme,Business Analyst,Department Product,Paris,Interim,Junior
237,Georges,Huet,Facility Manager,Department Facilities,Marseille,Apprentissage,Junior
238,Étienne,Imbert,Cleaner,Department Facilities,Toulouse,Apprentissage,Junior
239,Henriette,Bouvet,Payroll Manager,Department Finance,Rouen,CDD,Senior
240,Stéphane,Munoz,Architect,Department IT,Rouen,CDI,Junior
241,Jérôme,Brun,Architect,Department IT,Nantes,Stage,Medium
242,Pierre,Neveu,Sales Manager,Department Sales,Paris,Stage,Medium
243,Danielle,Boutin,Cleaner,Department Facilities,Lyon,CDI,Senior
244,Auguste,Barthelemy,Product Owner,Department Product,Montpellier,CDD,Junior
245,Léon,Marie,Account Manager,Department Sales,Nantes,Interim,Junior
246,Laetitia,Monnier,Business Analyst,Department Product,Paris,CDI,Junior
247,Dorothée,Hamon,Researcher,Department R&D,Strasbourg,CDI,Medium
248,Alfred,Cohen,Sysadmin,Department IT,Strasbourg,CDD,Junior
249,Luc,Perrot,Architect,Department IT,Marseille,CDI,Medium
250,Adèle,Dos Santos,Business Analyst,Department Product,Marseille,CDD,Medium
251,Agnès,Lemaire,Business Analyst,Department Product,Strasbourg,CDD,Junior
252,Thibaut,Barbier,Architect,Department IT,Nantes,CDI,Lead
253,Lucas,Turpin,Accountant,Department Finance,Rouen,Apprentissage,Medium
254,Raymond,Marin,Scientist,Department R&D,Lyon,Stage,Medium
255,Timothée,Rolland,Security Guard,Department Facilities,Toulouse,CDD,Medium
256,Alexandre,Roche,Payroll Specialist,Department HR,Toulouse,CDI,Medium
257,René,Meunier,Facility Manager,Department Facilities,Rouen,CDI,Junior
258,Alix,Tessier,Receptionist,Department Facilities,Toulouse,CDD,Medium
259,François,Gonzalez,Facility Manager,Department Facilities,Rouen,CDI,Junior
260,Marguerite,Alexandre,Architect,Department IT,Montpellier,CDI,Junior
261,Astrid,Ferrand,Payroll Manager,Department Finance,Marseille,Stage,Junior
262,Jacqueline,Techer,Engineer,Department R&D,Lyon,CDD,Junior
263,Guillaume,Leblanc,Payroll Specialist,Department HR,Toulouse,CDD,Junior
264,Frédéric,Perrin,Product Owner,Department Product,Bordeaux,CDI,Junior
265,Agnès,Gauthier,Researcher,Department R&D,Montpellier,CDI,Senior
266,Pénélope,Marie,Payroll Manager,Department Finance,Montpellier,CDI,Medium
267,Aimée,Bailly,Account Manager,Department Sales,Rouen,CDI,Senior
268,Audrey,Bertrand,Architect,Department IT,Rouen,CDI,Junior
269,Claudine,Georges,Legal Counsel,Department Legal,Paris,Stage,Lead
270,Astrid,Gonzalez,Payroll Manager,Department Finance,Rouen,CDI,Junior
271,Valérie,Huet,DBA,Department IT,Bordeaux,CDI,Junior
272,Laetitia,Andre,Business Analyst,Department Product,Toulouse,CDI,Medium
273,Élisabeth,Chartier,Security Guard,Department Facilities,Paris,CDI,Junior
274,Aimé,Clément,Security Guard,Department Facilities,Bordeaux,CDD,Medium
275,Adrien,Chrétien,Dev,Department IT,Paris,CDI,Junior
276,Bertrand,Colas,Security Engineer,Department IT,Paris,CDI,Executive
277,Nath,Blot,DBA,Department IT,Strasbourg,CDD,Medium
278,Noémi,Perret,Engineer,Department R&D,Lyon,CDI,Junior
279,Valentine,Lenoir,Sales Rep,Department Sales,Lyon,CDI,Junior
280,Eugène,Lemonnier,Cleaner,Department Facilities,Nantes,CDD,Junior
281,Margaret,Marchand,Facility Manager,Department Facilities,Strasbourg,Apprentissage,Medium
282,Adélaïde,Lemaire,Scientist,Department R&D,Strasbourg,CDD,Junior
283,Frédéric,Petit,Recruiter,Department HR,Nantes,Stage,Junior
284,Audrey,Lecomte,Product Manager,Department Product,Marseille,Apprentissage,Junior
285,Raymond,Jacques,Payroll Manager,Department Finance,Paris,CDD,Lead
286,Julien,Lefort,Cleaner,Department Facilities,Nantes,CDI,Junior
287,Étienne,Turpin,Recruiter,Department HR,Toulouse,Apprentissage,Senior
288,Paulette,Vincent,DevOps,Department IT,Lyon,CDI,Junior
289,Lucas,Le Roux,Security Guard,Department Facilities,Paris,Apprentissage,Junior
290,Célina,Pons,Researcher,Department R&D,Rouen,CDI,Junior
291,Paulette,Nguyen,Product Owner,Department Product,Marseille,Interim,Junior
292,Margaux,Gilles,Business Analyst,Department Product,Toulouse,Stage,Medium
293,André,Bonnin,Product Owner,Department Product,Lyon,CDI,Junior
294,Aurélie,Jourdan,Recruiter,Department HR,Marseille,CDI,Medium
295,Maggie,Benard,Payroll Specialist,Department HR,Marseille,CDI,Senior
296,Christine,Lefebvre,Payroll Manager,Department Finance,Bordeaux,Stage,Junior
297,Marc,Gautier,Security Engineer,Department IT,Strasbourg,CDI,Medium
298,Pénélope,Lecoq,DBA,Department IT,Nantes,CDI,Medium
299,Margot,Ruiz,Cleaner,Department Facilities,Montpellier,CDI,Junior
300,Valérie,Guibert,DBA,Department IT,Lyon,CDI,Medium
301,Inès,Marin,Account Manager,Department Sales,Marseille,Stage,Junior
302,Claudine,Perret,Sales Manager,Department Sales,Bordeaux,CDI,Medium
303,Audrey,Bousquet,Payroll Specialist,Department HR,Nantes,Stage,Junior
304,Christelle,Gaudin,Product Owner,Department Product,Rouen,Interim,Lead
305,Daniel,Girard,Receptionist,Department Facilities,Toulouse,Apprentissage,Medium
306,Marcel,Foucher,Researcher,Department R&D,Montpellier,CDI,Medium
307,Henri,Dubois,Dev,Department IT,Nantes,CDI,Medium
308,Diane,Marin,Accountant,Department Finance,Bordeaux,CDD,Junior
309,Renée,Breton,Receptionist,Department Facilities,Montpellier,CDI,Medium
310,David,Hervé,HR Manager,Department HR,Marseille,CDI,Senior
311,Corinne,Martineau,Account Manager,Department Sales,Nantes,CDI,Junior
312,Sabine,Dupuis,IT Support,Department IT,Lyon,CDD,Junior
313,Michelle,Le Roux,Payroll Specialist,Department HR,Montpellier,CDI,Lead
314,Simone,Adam,Payroll Manager,Department Finance,Lyon,Interim,Junior
315,André,Pruvost,Account Manager,Department Sales,Toulouse,CDD,Senior
316,Margot,Duhamel,Researcher,Department R&D,Toulouse,CDI,Junior
317,Aimée,Gilbert,Payroll Manager,Department Finance,Paris,Stage,Junior
318,Roland,Jacques,Product Manager,Department Product,Strasbourg,CDD,Senior
319,Susanne,Rousset,DevOps,Department IT,Rouen,Apprentissage,Junior
320,Paul,Lecoq,Product Owner,Department Product,Bordeaux,CDI,Senior
321,Jeanne,Didier,Account Manager,Department Sales,Marseille,Apprentissage,Medium
322,Maryse,Blanchet,Sysadmin,Department IT,Strasbourg,CDI,Junior
323,Stéphanie,Menard,Architect,Department IT,Montpellier,Apprentissage,Junior
324,Margaud,Vallée,Cleaner,Department Facilities,Montpellier,CDD,Medium
325,Théodore,Camus,Accountant,Department Finance,Nantes,Stage,Medium
326,Marcel,Étienne,DevOps,Department IT,Strasbourg,CDI,Junior
327,Adrienne,Paris,Engineer,Department R&D,Strasbourg,CDD,Medium
328,Éléonore,Schmitt,Security Guard,Department Facilities,Strasbourg,CDI,Junior
329,Laurence,Humbert,Intern,Department Intern,Bordeaux,CDI,Medium
330,Benjamin,Paris,Accountant,Department Finance,Nantes,CDD,Medium
331,Maurice,Imbert,DevOps,Department IT,Marseille,Stage,Medium
332,Pierre,Schneider,DevOps,Department IT,Nantes,CDI,Medium
333,Éric,Gautier,IT Support,Department IT,Montpellier,CDI,Junior
334,Alice,Maury,Sysadmin,Department IT,Marseille,CDI,Medium
335,Franck,Hamon,DevOps,Department IT,Toulouse,CDI,Junior
336,Michèle,Garcia,Cleaner,Department Facilities,Montpellier,CDI,Junior
337,Tristan,Le Goff,Cleaner,Department Facilities,Strasbourg,Apprentissage,Junior
338,Claude,Roux,Financial Analyst,Department Finance,Toulouse,Stage,Medium
339,Rémy,Leduc,Intern,Department Intern,Lyon,CDD,Junior
340,François,Wagner,Accountant,Department Finance,Nantes,CDI,Junior
341,Eugène,Pascal,Architect,Department IT,Nantes,CDI,Junior
342,Isaac,Colas,Facility Manager,Department Facilities,Toulouse,CDI,Senior
343,Raymond,Leconte,Sales Manager,Department Sales,Bordeaux,CDD,Junior
344,Paul,Letellier,DevOps,Department IT,Marseille,CDI,Junior
345,Aurore,Marchal,Engineer,Department R&D,Montpellier,Stage,Junior
346,Marine,Lecoq,Payroll Specialist,Department HR,Nantes,CDI,Medium
347,Frédérique,Dupuis,Account Manager,Department Sales,Bordeaux,CDI,Lead
348,Adrienne,Garcia,Legal Counsel,Department Legal,Marseille,Stage,Medium
349,Capucine,Navarro,Legal Counsel,Department Legal,Lyon,CDI,Junior
350,Jeannine,Gros,Scientist,Department R&D,Strasbourg,CDI,Medium
351,Honoré,Delorme,Security Guard,Department Facilities,Rouen,CDI,Medium
352,Michel,Berger,Sysadmin,Department IT,Bordeaux,Apprentissage,Junior
353,Laure,Samson,Scientist,Department R&D,Toulouse,Stage,Medium
354,Christophe,Renaud,Financial Analyst,Department Finance,Bordeaux,CDI,Junior
355,Thibault,Delmas,DBA,Department IT,Nantes,Stage,Medium
356,Richard,Voisin,DevOps,Department IT,Bordeaux,CDD,Medium
357,Olivie,Joseph,Business Analyst,Department Product,Montpellier,CDD,Medium
358,Laurent,Martinez,Payroll Specialist,Department HR,Rouen,CDD,Senior
359,Odette,Denis,DevOps,Department IT,Lyon,CDD,Junior
360,Isaac,Léger,Sales Rep,Department Sales,Paris,CDD,Medium
361,Jeanne,Guibert,Sales Rep,Department Sales,Strasbourg,Interim,Junior
362,Zoé,Guillaume,Sysadmin,Department IT,Marseille,CDI,Medium
363,Nath,Marques,Cleaner,Department Facilities,Lyon,CDI,Junior
364,Nathalie,Gaillard,Scientist,Department R&D,Rouen,CDI,Executive
365,Matthieu,Rémy,Facility Manager,Department Facilities,Marseille,CDI,Lead
366,Théophile,Chauvet,Architect,Department IT,Nantes,CDI,Junior
367,Yves,Lambert,Scientist,Department R&D,Rouen,CDI,Junior
368,Suzanne,Gillet,Financial Analyst,Department Finance,Bordeaux,CDI,Junior
369,Audrey,Mendès,Engineer,Department R&D,Toulouse,CDI,Junior
370,Véronique,Mercier,DevOps,Department IT,Nantes,Apprentissage,Medium
371,Martine,Olivier,Receptionist,Department Facilities,Rouen,CDI,Medium
